,arxiv,freelaw,pubmed_central,wikipedia_en,dm_mathematics,github,stackexchange,gutenberg_pg_19,pile_cc,ubuntu_irc,hackernews,pubmed_abstracts,uspto_backgrounds
freelaw*enron_emails,1.77736,-1.0561,3.29029,-0.184199,0.716134,-0.208823,0.549419,-0.0223713,-0.286879,-1.70413,-0.274741,-0.113001,0.17029
freelaw*gutenberg_pg_19,-0.0441409,-0.0225138,-0.0526294,0.0875924,-0.757959,-0.193,-0.0555755,-0.416732,0.0688937,-0.325226,0.0451064,0.111597,0.206591
freelaw*pile_cc,-0.287453,-0.291516,-0.154774,-0.132824,-0.167468,-0.136331,-0.134912,-0.0590413,-0.145651,-0.130063,-0.0749077,-0.0707871,-0.0585622
freelaw*ubuntu_irc,0.163247,-0.0400835,0.319584,0.405638,-1.31098,0.259775,0.314582,0.312462,0.25772,-2.12386,0.142178,0.359102,0.216605
freelaw*europarl,0.399574,-0.00109874,0.36734,0.517614,-0.0263279,0.285823,0.136213,0.457005,0.407294,-0.315553,0.291703,0.547183,0.527829
freelaw*hackernews,0.454462,0.31457,0.140849,0.354253,-0.21605,0.115042,0.139514,0.476483,0.281999,0.0319152,-0.235561,0.567103,0.306211
freelaw*pubmed_abstracts,-0.31802,-0.189566,-0.267445,0.0508662,-0.00921357,-0.014938,-0.0525249,0.000547767,0.0414009,0.263323,-0.0427942,-0.55606,-0.00303085
freelaw*uspto_backgrounds,-0.0422381,-0.355674,-0.152815,-0.0354551,-0.367258,-0.366816,-0.243658,-0.0770941,-0.0286008,-0.107572,-0.0491495,-0.121142,-0.508532
nih_exporter*pubmed_central,-0.338745,0.131552,0.726636,-0.161867,-0.424595,-2.2278,-1.50567,0.220075,-0.0560528,-1.82268,0.0526697,0.715258,0.210483
nih_exporter*wikipedia_en,1.5364,0.0681511,0.771974,0.0925292,0.0828065,0.857381,0.8917,0.326632,0.465981,2.6244,0.323543,0.0769098,0.387418
nih_exporter*dm_mathematics,0.999377,-0.25458,-0.381551,0.846125,-1.15958,-0.154021,-0.152957,0.0774643,0.507118,2.20504,-0.46821,0.380779,0.443708
nih_exporter*github,-0.732519,0.779254,-0.325952,0.414375,-1.59113,-0.0240708,0.253868,0.789072,0.536341,1.21551,0.438889,-0.628588,0.125359
nih_exporter*philpapers,0.142771,-0.0407479,0.0448551,0.253058,1.105,0.0729549,0.046093,0.170569,0.18974,0.407737,0.130745,0.15944,0.149812
nih_exporter*stackexchange,-0.184073,-0.576922,-0.0285642,0.94797,-3.2048,0.0537025,0.256947,0.311797,0.540558,0.225449,0.0540726,-0.232888,-0.451919
nih_exporter*enron_emails,0.11219,-0.0679998,0.103524,-0.0165501,0.480306,0.0364762,0.0019662,0.015908,0.0269316,-0.077292,-0.0441413,0.0401266,0.110905
nih_exporter*gutenberg_pg_19,-1.3375,0.496179,0.59846,-0.465962,3.94228,1.80076,1.80636,0.363226,0.350369,-1.9787,0.506243,0.322636,0.576518
nih_exporter*pile_cc,0.398247,0.37851,-0.119355,0.309866,1.40715,-0.0549285,0.0755211,0.302876,0.328098,-0.775106,0.16344,0.0552138,0.595305
nih_exporter*ubuntu_irc,1.06456,0.876153,-0.733241,0.812418,-2.50797,-0.718047,-0.0595376,0.231478,0.930033,1.63025,1.16913,0.664735,0.740333
nih_exporter*europarl,-1.60796,1.12107,-0.128485,-0.111366,0.00634358,-0.904891,-0.857069,0.231132,-0.0326498,0.253431,-0.0409929,-0.193035,-0.300558
nih_exporter*hackernews,-0.321457,0.768796,1.43898,0.047348,-0.0562503,0.816274,0.235047,-0.132666,0.142468,-0.582021,1.17831,0.732516,0.379429
nih_exporter*pubmed_abstracts,1.89163,0.358555,0.42513,0.658405,0.763488,0.1047,0.492787,0.679099,0.53234,-0.0807834,1.04083,0.331145,0.361169
nih_exporter*uspto_backgrounds,1.62633,0.225548,0.450719,0.321217,-4.19025,0.00320501,-0.283704,0.0921075,0.0552743,-0.774173,-0.716514,0.207316,-0.216857
pubmed_central*wikipedia_en,-0.37155,-0.0740545,-0.372295,-0.444076,-0.424371,-0.321007,-0.197264,-0.0632248,-0.0736167,-0.0723643,-0.0444217,-0.0589883,0.0295131
pubmed_central*dm_mathematics,0.270122,0.133899,0.118532,0.344061,-3.13568,0.577245,0.635144,0.384738,0.428157,0.458851,0.467556,0.28835,0.232449
pubmed_central*github,-0.223093,-0.13966,-0.452929,-0.126187,0.100271,-0.697227,-0.342497,-0.0316112,-0.0599494,-0.184519,-0.0605282,-0.205809,-0.0850673
pubmed_central*philpapers,0.639054,0.251314,0.457955,0.428025,2.96165,0.260758,0.056076,0.392565,0.480097,0.658949,0.351337,0.437412,0.36383
pubmed_central*stackexchange,-0.150538,-0.063603,-0.430885,-0.0692201,-0.364415,-0.323991,-0.362607,-0.0375483,-0.0594422,-0.167695,-0.0580864,-0.194957,-0.0416534
pubmed_central*enron_emails,-1.44553,-0.664503,-0.361011,-0.2121,3.62309,-1.54474,-1.67565,-0.28229,-0.0308446,-0.430408,-0.338631,0.437957,0.478479
pubmed_central*gutenberg_pg_19,-0.2294,-0.216958,-0.619199,-0.118756,-0.379753,-0.112114,-0.00527739,-0.722696,-0.0601917,-0.833234,-0.119215,-0.0788714,0.0222437
pubmed_central*pile_cc,-0.158396,-0.11612,-0.375214,-0.0884661,0.0559348,-0.185215,-0.200546,-0.0941574,-0.130628,-0.109537,-0.118221,-0.0769122,-0.0349374
pubmed_central*ubuntu_irc,0.192412,-0.340306,0.145097,0.279737,0.179808,-0.389085,-0.216342,0.179761,0.227664,-1.48327,0.237813,0.262494,0.233515
pubmed_central*europarl,-0.190729,0.0989996,0.510671,0.278035,-0.698298,0.0616234,0.103849,0.290432,0.278272,-0.167864,0.272303,0.435816,0.278862
pubmed_central*hackernews,0.550213,-0.291971,-0.0200236,0.498868,0.569158,-0.360021,-0.300218,0.000743771,0.157098,-0.0287655,-0.83294,0.147868,0.404806
pubmed_central*pubmed_abstracts,-0.101068,0.308317,-0.384267,0.0744813,0.595979,0.222859,0.0690694,0.228133,0.116455,0.149094,0.0820823,-0.234624,0.0035906
pubmed_central*uspto_backgrounds,-0.0530867,0.0251517,-0.40322,0.00495607,-0.363827,-0.0164882,0.0534215,0.0559717,0.0427345,0.207163,0.0401301,-0.0849854,-0.440235
wikipedia_en*dm_mathematics,0.0212543,-0.02957,-0.0893098,0.0530281,-2.78374,0.304938,0.291067,0.309451,0.239574,0.0793775,0.230086,0.257758,0.237635
wikipedia_en*github,-0.281457,-0.144256,-0.0972054,-0.524822,-0.185248,-0.483027,-0.230363,-0.0180065,-0.088081,0.061403,-0.0472161,0.0174957,0.0199222
wikipedia_en*philpapers,0.189558,-0.347746,0.248637,0.672474,-1.10236,-0.149256,-0.607154,0.740741,0.566576,-0.217556,0.89887,-0.083562,0.421212
wikipedia_en*stackexchange,-0.40142,0.0246212,-0.145448,-0.503257,-0.492597,-0.346929,-0.416649,0.0158557,-0.0851664,-0.172328,-0.0457581,-0.00282182,-0.00789524
wikipedia_en*enron_emails,-1.40892,0.853596,0.568329,0.470708,-2.49314,-1.38314,-0.247815,0.461468,0.40704,-0.854427,0.24464,0.914335,0.437659
wikipedia_en*gutenberg_pg_19,-0.304702,0.136813,-0.125133,-0.253139,-1.09329,-0.199721,-0.0326902,-0.4224,0.0655065,-0.197047,-0.0386819,0.157743,0.238642
wikipedia_en*pile_cc,-0.104435,-0.0395331,-0.0869694,-0.310079,-0.437516,-0.0569432,-0.0258447,-0.0343419,-0.061608,-0.0833637,-0.0557853,0.0348739,0.0291974
wikipedia_en*ubuntu_irc,0.448419,0.373051,0.544237,-0.00990024,-0.349221,0.0877847,0.252437,0.366048,0.23399,-1.29343,0.132573,0.339338,0.382223
wikipedia_en*europarl,-0.147205,0.711803,0.316842,0.235705,1.34,0.164863,-0.0369694,0.649943,0.448977,0.64336,0.40487,0.454265,0.252985
wikipedia_en*hackernews,0.477857,0.0232766,0.714101,0.295282,-1.3668,0.611823,0.546766,0.183856,0.362694,-0.0470801,-0.220512,0.163908,-0.393913
wikipedia_en*pubmed_abstracts,-0.229846,-0.0633436,-0.038024,-0.364697,-0.42681,-0.0553909,-0.0319995,-0.0614597,-0.0465072,-0.124323,-0.0286864,-0.44107,0.00909461
wikipedia_en*uspto_backgrounds,0.052046,0.0189068,-0.0474686,-0.366906,-0.467111,-0.241071,-0.130637,0.0491391,-0.0388288,-0.00610118,-0.0303998,0.0290079,-0.322715
dm_mathematics*github,0.117689,0.183686,0.320713,0.321643,-2.4757,0.0923477,0.200579,0.282622,0.312054,0.226052,0.171582,0.398115,0.243943
dm_mathematics*philpapers,0.217402,0.660905,1.40477,-0.216465,0.955457,1.22831,0.485469,0.200841,0.149047,-0.336681,0.530469,0.590999,-0.426895
dm_mathematics*stackexchange,0.392304,0.341859,0.559532,0.329601,-2.96266,0.0213773,0.255514,0.299793,0.292964,0.304359,0.384761,0.277522,0.220011
dm_mathematics*enron_emails,-1.28051,0.0408867,0.390013,0.232238,-1.09866,0.816369,0.230802,-0.300134,0.0902664,2.25264,0.0177147,-0.105737,0.458515
dm_mathematics*gutenberg_pg_19,0.327416,0.216039,0.460262,0.285925,-2.34001,0.905426,0.608012,-0.0954148,0.44263,0.179563,0.432989,0.280002,0.377463
dm_mathematics*pile_cc,0.589701,0.258626,0.415903,0.269391,-2.74006,0.216701,0.291504,0.300352,0.23938,0.531786,0.289155,0.296482,0.310068
dm_mathematics*ubuntu_irc,1.05969,0.463218,0.157357,1.00172,1.20023,1.21305,1.0818,0.872015,0.835141,1.37799,0.972843,0.535089,0.600465
dm_mathematics*europarl,0.971455,2.98962,0.619501,0.275641,-3.20137,0.747181,0.717964,0.663533,0.62812,-1.14748,0.467474,1.12641,0.439945
dm_mathematics*hackernews,-0.36108,1.11508,-0.487413,0.503539,-0.694477,-0.551749,0.248375,0.402723,0.159301,-1.25074,-0.217673,0.314684,0.400328
dm_mathematics*pubmed_abstracts,0.578175,0.469333,0.0960865,0.552997,-2.23941,0.0402028,0.174416,0.471278,0.522892,0.930529,0.308458,-0.073446,0.255548
dm_mathematics*uspto_backgrounds,0.246859,0.545071,-0.166032,0.505923,-2.60605,0.149783,0.345173,0.449566,0.377467,0.0477796,0.363455,0.297325,-0.0909699
github*philpapers,0.570721,0.237625,-0.413637,-0.0876448,-0.509324,0.616096,0.623427,0.297564,0.0960242,0.375507,0.15997,0.0174979,-0.0548993
github*stackexchange,-0.127799,-0.10905,-0.0538759,-0.0854506,0.105905,-0.115412,-0.0788641,-0.0540078,-0.0512898,0.0614526,-0.0277451,-0.0527585,0.0241131
github*enron_emails,-1.05317,0.304119,-0.674366,1.0658,1.45691,1.12,0.795905,0.257128,0.532738,0.605378,-0.118149,0.0526271,0.305827
github*gutenberg_pg_19,-0.0217743,0.231173,0.143012,0.163976,-0.642647,-0.23977,-0.0362647,-0.509155,0.105924,-0.200359,0.0589955,0.163159,0.112979
github*pile_cc,-0.0747427,-0.0586298,-0.0195652,-0.101495,0.194885,-0.431485,-0.168518,-0.0665975,-0.119766,-0.0724759,-0.0658544,-0.0153451,-0.0240798
github*ubuntu_irc,0.130622,0.469202,0.208923,0.430873,-0.820249,0.0246686,0.230775,0.149433,0.249015,-1.91788,0.0505073,0.289542,0.299386
github*europarl,0.343512,-0.266243,-0.0232637,0.358634,0.438529,0.394864,0.333116,0.272616,0.318677,0.08167,0.40005,0.317527,0.306189
github*hackernews,0.755996,0.323564,0.670488,0.509385,-0.635071,0.306361,0.456053,0.399037,0.337405,0.0612699,-0.0467827,0.649368,0.424067
github*pubmed_abstracts,-0.118713,0.251662,-0.144294,0.0469161,-0.263061,-0.234525,-0.0722339,0.0797066,0.0630778,0.172747,0.0442468,-0.558012,-0.0361216
github*uspto_backgrounds,-0.125264,-0.157635,-0.127212,0.00564469,-0.0932035,-0.425449,-0.160926,0.0586928,0.000972808,0.000596628,-0.00709837,-0.141656,-0.538938
philpapers*stackexchange,0.640434,0.746769,-0.383993,0.843371,0.532565,1.22508,1.5598,0.721076,0.46791,-0.523648,0.505286,0.151994,-0.10681
philpapers*enron_emails,-0.223138,0.145705,0.219427,-0.0758486,0.25249,-0.043309,-0.0475203,0.029366,0.0185899,0.598728,-0.00214762,0.0370553,0.0582747
philpapers*gutenberg_pg_19,0.544864,0.941144,1.88037,0.624068,2.03195,-0.607581,-0.133295,0.721798,0.633492,-0.441001,0.39851,1.27814,0.850016
philpapers*pile_cc,0.581795,0.163865,0.532531,0.48868,-0.756518,0.495898,0.658037,0.374754,0.407317,0.851032,0.374126,0.456073,0.313028
philpapers*ubuntu_irc,1.01849,0.471405,0.609381,0.138026,1.43328,-0.0494908,0.229015,0.749466,0.359876,-0.140823,0.301267,0.0282292,0.29649
philpapers*europarl,-0.810034,-0.44624,-0.111998,-0.409734,-2.27896,1.69554,0.575718,0.22662,0.149317,1.68342,0.417049,0.179832,0.478699
philpapers*hackernews,-1.27839,0.912575,-1.67978,0.225465,-0.374919,-0.441073,-0.907415,-0.0399209,0.251681,0.288393,0.0940459,-0.32866,0.142005
philpapers*pubmed_abstracts,0.15973,-1.70982,-0.695265,-0.978075,-2.40375,0.346392,-0.64237,-0.802332,-0.491355,-3.09871,-0.174634,0.478697,0.303557
philpapers*uspto_backgrounds,-1.04774,0.812141,0.921929,-0.355322,-3.97224,-0.942558,-0.582327,-0.0903973,0.0910278,-0.28145,0.139388,0.026067,-0.157457
stackexchange*enron_emails,-2.37953,-0.984349,-0.897374,0.0215917,-1.79291,-0.853441,-0.459803,-0.068971,-0.151594,-2.25981,-0.807648,-1.16235,-0.100547
stackexchange*gutenberg_pg_19,-0.146951,0.0885058,-0.144289,-0.0329634,0.0733874,-0.104961,-0.149715,-0.549294,0.0366837,0.0648556,0.0367868,-0.0687154,-0.0148746
stackexchange*pile_cc,-0.225797,-0.0491373,-0.155615,-0.12133,-0.312799,-0.256693,-0.315355,-0.0666693,-0.107088,-0.0713816,-0.0734094,-0.0356514,-0.0337127
stackexchange*ubuntu_irc,0.209052,0.154401,-0.0152586,0.244852,-0.262199,0.550789,0.347654,0.337098,0.258575,-1.21434,0.36267,0.138393,0.207283
stackexchange*europarl,0.346255,0.28627,0.646589,0.334091,0.301732,0.298946,0.247963,0.328157,0.332861,0.240624,0.416713,0.372884,0.0868274
stackexchange*hackernews,0.206058,0.201233,0.141061,0.610311,-0.0853134,0.345621,0.430206,0.279825,0.411913,0.207173,-0.0921609,0.278048,0.505739
stackexchange*pubmed_abstracts,-0.0715983,0.200054,-0.133166,0.0375398,0.263605,-0.110081,-0.25072,0.0891643,0.0506688,0.225546,0.0350018,-0.541564,-0.0231835
stackexchange*uspto_backgrounds,-0.337492,-0.0608169,-0.152795,-0.06259,0.104578,-0.359957,-0.406942,-0.0423275,-0.0226051,0.136689,-0.0641043,-0.113739,-0.487017
enron_emails*gutenberg_pg_19,0.195172,0.275853,2.38783,0.0873791,2.53694,0.216743,0.185815,1.23931,0.680983,1.3958,0.671829,0.756231,-0.174596
enron_emails*pile_cc,2.03594,0.145969,0.365961,0.0780219,-1.75917,-1.3858,-0.863229,0.064534,0.137523,-0.943218,0.25752,0.566036,0.518773
enron_emails*ubuntu_irc,0.200801,0.762793,-0.5131,0.688448,-0.20033,-0.21619,-0.0982611,0.385824,0.430088,1.31812,0.167449,0.207804,0.150323
enron_emails*europarl,0.157387,0.149561,-0.144004,-0.237919,-0.373123,-0.685932,-0.523947,0.163828,-0.189978,-1.14019,-0.0120262,0.170714,0.00261473
enron_emails*hackernews,0.297268,-0.100754,0.415332,-0.0690436,0.251461,0.338277,0.589112,0.313171,0.109152,0.0445133,0.167283,0.20323,0.0455009
enron_emails*pubmed_abstracts,-0.237439,0.982214,-0.453832,-0.113276,0.0321841,-1.65676,-0.853456,-0.339198,-0.15241,0.158414,0.00856373,0.164906,0.407417
enron_emails*uspto_backgrounds,3.05043,0.342709,1.17666,0.503079,-2.33284,-1.24162,-0.306243,0.643062,0.100471,-2.06083,0.609267,0.855721,0.368097
gutenberg_pg_19*pile_cc,0.0101816,0.15653,0.174733,0.0842519,-0.0932715,0.221551,0.163297,-0.32606,0.0422064,-0.204702,0.0796127,0.137867,0.162554
gutenberg_pg_19*ubuntu_irc,0.635507,0.380318,0.275812,0.837334,-0.365353,-0.030502,0.0291609,-0.000707762,0.466247,-1.34677,0.329429,0.429592,0.571053
gutenberg_pg_19*europarl,-0.0479516,0.0187965,-0.142369,0.91563,-1.8779,1.17693,0.844981,0.0313431,0.595767,0.52853,0.74622,0.575698,0.491228
gutenberg_pg_19*hackernews,-0.914618,-0.0403909,1.16981,0.364685,-0.588288,0.826084,0.579646,0.310132,0.392791,0.545187,0.0160348,0.895819,0.552642
gutenberg_pg_19*pubmed_abstracts,-0.289985,0.225176,-0.197592,0.229102,-0.0844445,0.186433,0.161838,-0.347123,0.126506,-0.413766,0.130181,-0.357409,0.159011
gutenberg_pg_19*uspto_backgrounds,0.115287,0.135281,0.227679,0.136488,-0.321979,0.180763,0.186592,-0.444629,0.117385,-0.0047714,0.164673,0.154665,-0.291674
pile_cc*ubuntu_irc,0.251832,0.353698,0.114339,0.281779,-0.365022,0.254375,0.245846,0.285013,0.231495,-1.6261,0.306298,0.305454,0.23631
pile_cc*europarl,0.432054,0.423455,-0.0199676,0.325623,0.495568,0.150589,0.303193,0.364637,0.322492,-0.148277,0.0857649,0.331569,0.426996
pile_cc*hackernews,0.5895,-0.00466348,0.304966,0.389384,0.26379,0.212039,-0.0112119,0.430586,0.34235,-0.153641,-0.0799313,0.0651516,0.253108
pile_cc*pubmed_abstracts,0.220393,0.139572,-0.0970944,0.00595162,0.365078,-0.00265274,0.00863285,0.0493067,-0.0439326,0.0159266,0.0246371,-0.429176,-0.0086955
pile_cc*uspto_backgrounds,-0.140296,-0.110912,-0.0312021,-0.0594673,-0.199673,-0.130356,-0.107728,-0.0342317,-0.0813381,0.120938,-0.0334629,-0.0300946,-0.392344
ubuntu_irc*europarl,0.54816,-0.358477,2.60503,0.108732,0.828362,0.215123,0.401626,0.129131,0.0235597,-1.99344,0.628393,0.66922,0.275232
ubuntu_irc*hackernews,-0.465506,-0.993666,0.0434484,0.360343,4.1041,0.214663,0.166374,0.208146,0.3532,1.25438,0.0602639,0.50868,0.86582
ubuntu_irc*pubmed_abstracts,0.564621,0.948439,0.258753,0.515482,0.15522,0.279462,0.336514,0.518399,0.449813,-0.724524,0.348719,-0.122058,0.428961
ubuntu_irc*uspto_backgrounds,-0.258181,-0.08974,0.0549256,0.181942,-0.383821,-0.184621,0.000350795,0.274025,0.216882,-1.71535,0.197205,0.357782,-0.153401
europarl*hackernews,-0.559409,1.861,-0.883496,-0.337531,0.520902,-0.714886,-0.515233,-0.0673323,0.293996,1.48334,0.159613,-0.406137,0.508172
europarl*pubmed_abstracts,1.31664,0.0225678,0.137526,0.145132,1.22127,1.05497,1.23532,0.106884,0.334159,1.08249,0.220712,-0.210527,0.287542
europarl*uspto_backgrounds,-0.197043,0.439222,0.0137948,0.260337,0.42497,0.0156487,0.22321,0.124469,0.393752,-0.0369975,0.842367,0.172334,-0.169361
hackernews*pubmed_abstracts,0.57446,0.904222,0.320683,0.383946,0.46211,0.214971,0.315445,0.181956,0.403961,1.10064,-0.0953843,0.0323869,0.438101
hackernews*uspto_backgrounds,0.824426,-0.25061,0.287693,0.154325,-0.0549328,0.521451,0.0625779,-0.339158,0.191721,1.35099,-0.678485,0.146824,0.0866497
pubmed_abstracts*uspto_backgrounds,-0.0770791,0.270976,-0.0899677,0.152412,0.00807784,-0.203251,-0.157827,0.236382,0.120897,0.386264,0.122116,-0.32839,-0.303159
