_id,_domain,_ntok,Q,Q_base,conflict,is_conflict,z_教育价值,z_可读性,z_专业性,z_低噪声
BkiUbmzxK0iCl7UGV-Ke,wikipedia,329,0.397489,0.484248,0.61133,True,0.674211,0.806382,0.195052,0.517757
BkiUdPw5qdmC_bV0wYgB,wikipedia,116,0.349572,0.375918,0.356847,False,0.644946,0.343917,0.288099,0.312348
BkiUcWPxK0wg09lKBgxi,commoncrawl,3267,0.584089,0.622346,0.284662,False,0.631042,0.779484,0.494822,0.616277
BkiUdv7xaKPQoka4SO05,commoncrawl,394,0.463065,0.528172,0.456593,False,0.767739,0.51526,0.311147,0.631968
BkiUa33xK2li-F6Jwqup,commoncrawl,14826,0.416203,0.528402,0.799157,True,0.69361,0.953563,0.154406,0.761307
BkiUbw84ukPiEPtYOrdQ,stackexchange,361,0.52633,0.572751,0.360061,False,0.778077,0.717788,0.418017,0.460828
BkiUbdc4eIZijRGJ1cwK,arxiv,1166,0.655421,0.685549,0.336588,False,0.680514,0.921709,0.585121,0.60178
BkiUfMHxaKgQX6Nqsq21,c4,1637,0.597734,0.682265,0.518899,False,0.781459,0.919392,0.400493,0.75278
BkiUednxK4sA-7sDgS_D,c4,54,0.380551,0.424988,0.438449,False,0.546198,0.276865,0.301348,0.715314
BkiUchbxK0fkXPSOpkL8,commoncrawl,997,0.576529,0.670816,0.62698,True,0.983505,0.853708,0.356525,0.676111
BkiUbmjxK6EuNA_gMTUa,stackexchange,698,0.479657,0.527714,0.434314,False,0.801838,0.669359,0.367524,0.392989
BkiUduw5qsFAfn88t3ms,wikipedia,226,0.412676,0.499236,0.567995,False,0.658074,0.778697,0.210702,0.574594
BkiUdnE4dbghcDJYFnY3,commoncrawl,279,0.449471,0.538715,0.561868,False,0.695119,0.803102,0.241234,0.624788
BkiUfGHxK03BfL1dWXhu,c4,89,0.278341,0.341844,0.504112,False,0.63428,0.130168,0.317602,0.519411
BkiUa8M4uBhhxNKuBbFj,commoncrawl,547,0.572035,0.658397,0.516645,False,0.751506,0.887168,0.370523,0.760373
BkiUcQTxK1yAgWay3-hw,c4,598,0.393728,0.496605,0.662858,True,0.661785,0.816539,0.153681,0.730507
BkiUflDxK6wB9jjDiWu7,c4,262,0.504306,0.603248,0.602292,True,0.749106,0.875732,0.27344,0.737625
BkiUd6I4eIOjR9j0NWz0,github,322,0.51449,0.588228,0.521888,False,0.799302,0.342436,0.864324,0.505822
BkiUdOnxK7IDOE3osJP-,commoncrawl,1203,0.413886,0.52351,0.707217,True,0.847645,0.865313,0.158096,0.646073
BkiUdHE4eIZjuBQZud-L,commoncrawl,440,0.500129,0.590725,0.588065,True,0.713338,0.876802,0.288737,0.6738
BkiUddk4eIZjfagW4taQ,c4,96,0.513744,0.588604,0.496402,False,0.63813,0.835471,0.339069,0.663714
BkiUd0U4uzlhipPcwI0p,stackexchange,387,0.603707,0.624415,0.159356,False,0.714745,0.689067,0.55573,0.555389
BkiUfWc25V5jP7YhG-5V,commoncrawl,584,0.534341,0.621469,0.503436,False,0.749399,0.834478,0.331042,0.720188
BkiUa6A5qhLACD0XwZx3,stackexchange,433,0.589072,0.623128,0.245278,False,0.754885,0.682188,0.509607,0.574455
BkiUa5TxK7Ehm9ic-Z2M,arxiv,3791,0.593531,0.644516,0.454564,False,0.673197,0.92913,0.474566,0.581218
BkiUetnxK7IDPjMdLSY6,commoncrawl,487,0.412081,0.502996,0.593175,True,0.606649,0.793119,0.199945,0.664417
BkiUa9o4eIfiUUIxjKv_,commoncrawl,838,0.548635,0.623236,0.40571,False,0.72001,0.780275,0.374564,0.716739
BkiUdOo4eIZjpZeDTbV5,arxiv,3852,0.631625,0.695097,0.465562,False,0.83537,0.949086,0.483525,0.60882
BkiUc1g4uBhizKyciZel,c4,290,0.520611,0.608072,0.489449,False,0.721149,0.805985,0.316536,0.742686
BkiUdjI4eIOjRurQNVBB,github,110,0.499218,0.540452,0.341672,False,0.618065,0.403005,0.744677,0.459856
BkiUcE_xK0fkXQzmK3Kk,commoncrawl,903,0.558094,0.642018,0.532209,False,0.71276,0.894481,0.362272,0.735295
BkiUeFrxK6EuNCveqdHI,commoncrawl,536,0.550216,0.621901,0.496454,False,0.684622,0.879406,0.382953,0.648575
BkiUdpfxK1ThhAcYkyk_,book,65600,0.534359,0.591294,0.425162,False,0.605023,0.826675,0.401513,0.608564
BkiUdg85qX_AYz6UqGvl,c4,310,0.382429,0.468743,0.531229,False,0.684427,0.546135,0.181028,0.712258
BkiUdnI5qdmDCTsM6ZmS,commoncrawl,718,0.505783,0.590939,0.55165,False,0.755025,0.858737,0.307087,0.612103
BkiUbbk4uzki0mx0NW6O,c4,805,0.468293,0.561188,0.51067,False,0.721881,0.715955,0.251538,0.762208
BkiUdDE25V5ikWNAG6XM,github,116,0.557836,0.59467,0.361854,False,0.619678,0.512858,0.833744,0.47189
BkiUbZjxK6wB9mpb0Z8F,c4,283,0.399492,0.474894,0.582556,True,0.806111,0.430961,0.223555,0.654153
BkiUdzjxaKPQonPpLyI_,commoncrawl,1256,0.457751,0.51165,0.424344,False,0.756332,0.422654,0.331988,0.645485
BkiUaMfxK1ThhBMLdfzq,c4,46,0.491855,0.567674,0.405207,False,0.642904,0.72015,0.314943,0.71185
BkiUdRw5qhLBUEdDcBpr,wikipedia,400,0.452675,0.520354,0.383536,False,0.678293,0.610652,0.294757,0.600222
BkiUe8DxK6wB9mn5Aqzz,c4,256,0.522786,0.600063,0.509129,False,0.647496,0.686279,0.342473,0.851602
BkiUeZLxK7IADTol2C5r,stackexchange,225,0.592606,0.614518,0.169156,False,0.710632,0.657875,0.541476,0.563318
BkiUb5zxK7FjYEXSDk2S,c4,275,0.527977,0.593606,0.332875,False,0.665444,0.707717,0.374842,0.703166
BkiUdpY4ubngzDmaLYp8,commoncrawl,660,0.456558,0.547625,0.530056,False,0.721965,0.774124,0.244069,0.658669
BkiUeqfxK3YB9m4AABJF,book,70784,0.499988,0.564884,0.544991,False,0.534584,0.893555,0.348564,0.611278
BkiUdr44dbgg-EpAJmH5,c4,168,0.593066,0.659185,0.355174,False,0.754398,0.793963,0.438789,0.718276
BkiUaYjxK6nrxrSHcy20,c4,128,0.458438,0.547239,0.482912,False,0.672683,0.722174,0.251236,0.734148
BkiUdwLxaJJQnL9IaO-L,wikipedia,29,0.452303,0.486476,0.246709,False,0.619275,0.372566,0.470259,0.516132
BkiUdOI5qdmDMTwvPCKs,book,48892,0.234989,0.314167,0.82747,True,0.332011,0.877711,0.0502415,0.657015
BkiUbfQ5qWTD6c9Tv2DH,commoncrawl,1456,0.497206,0.597329,0.600309,True,0.754423,0.863894,0.263585,0.740381
BkiUdgA5qrqCyqr5hGAw,commoncrawl,301,0.359388,0.452987,0.576653,False,0.608586,0.717643,0.14099,0.681913
BkiUeT3xK7DgtAAQJqVJ,arxiv,1810,0.637465,0.679446,0.395586,False,0.717401,0.935095,0.539508,0.588773
BkiUdaY5qoaAwqc6VmOR,commoncrawl,343,0.351206,0.416923,0.474039,False,0.671906,0.353592,0.197867,0.64189
BkiUe5rxK03BfHDu5U-k,arxiv,3523,0.621466,0.676115,0.445606,False,0.768192,0.939556,0.49395,0.586043
BkiUdWg4uBhi4In9YU-h,commoncrawl,4392,0.578136,0.631746,0.411774,False,0.65393,0.864822,0.453048,0.621574
BkiUe-Q5qhDCgpdHsf71,commoncrawl,1509,0.589607,0.647888,0.361164,False,0.759134,0.814782,0.453619,0.627878
BkiUcgvxK03BfJXwwODR,commoncrawl,343,0.435188,0.520233,0.456943,False,0.687648,0.693692,0.236749,0.647963
BkiUdRA5qhLBCSMaNRZK,commoncrawl,340,0.495861,0.565152,0.453324,False,0.593757,0.787505,0.334181,0.652597
BkiUd7o5qhDACwYJXrH4,c4,186,0.534805,0.598253,0.320145,False,0.706906,0.694921,0.386761,0.674059
BkiUdxY5qWTBHCllE9Ta,commoncrawl,206,0.459274,0.534326,0.411665,False,0.648099,0.695818,0.284153,0.635744
BkiUczg5qWTA5dUDj0ZD,commoncrawl,22799,0.398827,0.510756,0.757546,True,0.703059,0.895207,0.13766,0.782937
BkiUaa7xK7ICUn2IXjVM,c4,213,0.416235,0.500189,0.45609,False,0.676432,0.634215,0.220342,0.661457
BkiUfH025V5jQSoCcxm0,commoncrawl,578,0.558059,0.645703,0.603151,True,0.956705,0.702034,0.353554,0.731706
BkiUdP85qoYAv4ZEv9wl,commoncrawl,431,0.398051,0.46381,0.447257,False,0.69187,0.445796,0.244613,0.612887
BkiUbJE4dbjiVEKCITwV,commoncrawl,1422,0.484442,0.576692,0.601477,True,0.659528,0.870671,0.269194,0.714921
BkiUc3Y5jDKDyJ94Wv6C,c4,394,0.443691,0.543585,0.616047,True,0.665101,0.826649,0.210603,0.752975
BkiUc1M5qsNCPbQZ65Vy,c4,182,0.448948,0.536709,0.476848,False,0.709446,0.663723,0.244171,0.721019
BkiUbqnxaL3SuhOomNBr,c4,84,0.494513,0.582937,0.538295,False,0.685818,0.826485,0.288191,0.706423
BkiUbPjxK19JmejM7k64,commoncrawl,1598,0.612712,0.683724,0.487273,False,0.77427,0.934292,0.447019,0.675653
BkiUeME4eIOjRvCHtj4d,c4,485,0.384501,0.480556,0.636833,True,0.677086,0.614687,0.160372,0.797205
BkiUbDw4eIfiUU0QabS6,stackexchange,77,0.572531,0.609381,0.236316,False,0.641899,0.722863,0.610771,0.486547
BkiUd5c5qX_BxlWi8e5p,wikipedia,47,0.382465,0.438723,0.399199,False,0.650398,0.475747,0.251199,0.476351
BkiUfsU241xiKkAO5-Nn,arxiv,7048,0.522854,0.563499,0.519264,False,0.433503,0.947278,0.428014,0.573452
BkiUfpi6NNjgBpvID2SE,c4,547,0.527129,0.627598,0.556378,False,0.793821,0.84908,0.292702,0.785786
BkiUbbM4uzqh_FfD5Iq-,commoncrawl,350,0.507235,0.572974,0.396909,False,0.651827,0.750754,0.353845,0.622241
BkiUe7DxK7IAHL_U9n-R,commoncrawl,1422,0.54605,0.632056,0.580098,True,0.774936,0.925467,0.345369,0.644019
BkiUdvY5qhLA6eZZnrW6,c4,40,0.343388,0.413089,0.546085,False,0.673449,0.18075,0.328549,0.726835
BkiUcPrxK7FjYAb_6FxR,commoncrawl,739,0.416307,0.51683,0.729295,True,0.595639,0.911047,0.181752,0.722038
BkiUclbxK4sA-7sDei3M,wikipedia,190,0.456178,0.526105,0.440918,False,0.733935,0.634334,0.293016,0.561297
BkiUd1Y5qhDACudDN--G,commoncrawl,727,0.515151,0.597259,0.579302,True,0.60156,0.902867,0.323565,0.723688
BkiUftHxK6EuNA_gQG1a,commoncrawl,647,0.526002,0.611899,0.520878,False,0.743946,0.846452,0.325574,0.683437
BkiUfV84uzqgCTcsvoP_,commoncrawl,574,0.515509,0.592557,0.498776,False,0.632386,0.834503,0.335728,0.695555
BkiUdzw5qsNCPep76pFj,stackexchange,623,0.59728,0.636598,0.30058,False,0.806119,0.765808,0.526171,0.505539
BkiUdc3xaJJQnL9IZ5eu,wikipedia,42,0.388201,0.44713,0.410298,False,0.660998,0.2507,0.391391,0.615819
BkiUbpfxaJiQnsTQxqRO,c4,73,0.472063,0.534131,0.398358,False,0.673278,0.508939,0.327238,0.725597
BkiUfEs5qhDCeKz25t9J,commoncrawl,525,0.381837,0.448757,0.455645,False,0.681336,0.565626,0.225691,0.465854
BkiUeqnxaKgTq1C9PBNu,arxiv,2724,0.621824,0.671143,0.415605,False,0.738492,0.922353,0.506748,0.587706
BkiUdbw5qoYA4vSM24RK,commoncrawl,160,0.469501,0.546586,0.448145,False,0.691159,0.737783,0.289638,0.60397
BkiUdIY5qhDBIcqDkMn_,commoncrawl,2079,0.375488,0.42936,0.405726,False,0.616606,0.336338,0.249787,0.655513
BkiUf1A241xiKxw8KDYD,c4,142,0.528619,0.610723,0.463066,False,0.647781,0.796002,0.337042,0.800108
BkiUbec4ukPiEKkD6tE6,commoncrawl,507,0.427342,0.513269,0.486263,False,0.693313,0.713108,0.226845,0.618159
BkiUbWE4uzki04AfVRes,arxiv,6551,0.537478,0.571015,0.422226,False,0.459226,0.881452,0.459909,0.570941
BkiUdxDxaKgQJoJrLy17,c4,157,0.273773,0.333275,0.51111,False,0.646045,0.134935,0.233694,0.603851
BkiUdPY5qoTA_-bSs-Fi,arxiv,9637,0.580395,0.638366,0.51619,False,0.631337,0.961322,0.445132,0.614552
BkiUbuI4uzqh_DvIk9Tp,commoncrawl,744,0.590813,0.674801,0.515055,False,0.708594,0.909894,0.39484,0.814227
BkiUdBs4uBhi2h6VOrKr,commoncrawl,578,0.448408,0.518171,0.404619,False,0.642025,0.690247,0.285628,0.569245
BkiUesXxK6mkyCKC2Tte,commoncrawl,125,0.364618,0.444736,0.513644,False,0.609765,0.691318,0.177674,0.521482
BkiUa-A4ubnjoqNEqJIh,c4,211,0.538467,0.625353,0.470821,False,0.775156,0.806556,0.335735,0.728234
BkiUd3w5qYVBeaTuDwdA,commoncrawl,902,0.555897,0.641978,0.556202,False,0.761325,0.911241,0.355039,0.689299
BkiUfA85qhDCZ_S7eNnK,github,21,0.522728,0.59042,0.551886,False,0.65082,0.36478,0.916667,0.558179
BkiUdkc5qoYA4DD26dTm,commoncrawl,1468,0.479107,0.568691,0.597089,True,0.649476,0.867167,0.270079,0.687063
BkiUc_k5qhDBIcqDkFCA,commoncrawl,483,0.499691,0.524045,0.16794,False,0.610806,0.545165,0.442866,0.511384
BkiUb_TxaJJQnHaRwdKK,c4,167,0.379178,0.456971,0.444301,False,0.641961,0.552477,0.19766,0.62124
BkiUfVc4uzqj8WoUXSMi,commoncrawl,1135,0.557085,0.642638,0.526757,False,0.821877,0.884216,0.35746,0.656269
BkiUbELxK0fkXPSOoINZ,commoncrawl,493,0.382184,0.464945,0.500933,False,0.596831,0.59928,0.189074,0.690008
BkiUdH0241xiEptdWRpv,c4,308,0.170268,0.223139,0.593828,True,0.640728,0.0469008,0.135579,0.600169
BkiUdUfxK4sA-5Y3sjs1,commoncrawl,526,0.474761,0.568326,0.617223,True,0.692597,0.873666,0.256443,0.671687
BkiUfW825V5jXr9apTMy,c4,1382,0.484464,0.583313,0.620616,True,0.681635,0.874431,0.253815,0.7645
BkiUbYM5qsBB3Ha6iL8E,wikipedia,33,0.453786,0.48428,0.274455,False,0.657088,0.397835,0.382633,0.549779
BkiUbi_xK7ICUyBuzLd7,c4,482,0.536321,0.619303,0.460203,False,0.71838,0.802899,0.342696,0.74387
BkiUeEc5qWTD6lY8Yhgu,commoncrawl,276,0.530295,0.60562,0.466991,False,0.668279,0.821528,0.354538,0.690866
BkiUcyvxK1UJ-2RwWT-X,arxiv,3171,0.607139,0.662282,0.402817,False,0.740252,0.881287,0.47847,0.616244
BkiUbjc4ukPiEKkD6xpY,wikipedia,54,0.475579,0.501337,0.221655,False,0.637132,0.482585,0.415477,0.494456
BkiUdao5qoaAwm0PG7X6,c4,515,0.577616,0.651648,0.433787,False,0.712152,0.838661,0.404875,0.745512
BkiUdJQ4eIZjrLrbJ78_,commoncrawl,634,0.668586,0.712789,0.346888,False,0.86209,0.912332,0.580351,0.565444
BkiUeBE4eIOjRq_Tx5Kq,commoncrawl,262,0.521771,0.59179,0.453924,False,0.683552,0.812316,0.358393,0.616118
BkiUduU4dbghYS8bArCg,commoncrawl,554,0.428954,0.517314,0.621608,True,0.643627,0.844388,0.22278,0.590818
BkiUdeA5qdmB62pcdIQG,commoncrawl,734,0.608484,0.65185,0.385081,False,0.753623,0.892379,0.507299,0.529113
BkiUdKfxK6Ot9TMSqt2Y,c4,69,0.517583,0.588788,0.353371,False,0.70481,0.691599,0.351439,0.701311
BkiUcHTxK4sA-9F9jb1O,wikipedia,44,0.417506,0.463023,0.308316,False,0.619615,0.537157,0.311299,0.443483
BkiUaV7xK03BfHDu16tn,c4,572,0.456001,0.535439,0.493451,False,0.658596,0.603062,0.270646,0.764097
BkiUaQjxK7Dgs_XS9KLT,wikipedia,38,0.445883,0.478277,0.33207,False,0.702367,0.487294,0.370297,0.412773
BkiUgzTxK7IACL5k-etX,commoncrawl,898,0.491894,0.561046,0.479037,False,0.620236,0.809575,0.330538,0.59673
BkiUbgQ241xg-Gl0mzTL,arxiv,6108,0.592097,0.654083,0.496065,False,0.732849,0.943528,0.447463,0.59143
BkiUc_o4uzki0qvyMqlt,commoncrawl,800,0.557413,0.626164,0.369001,False,0.765997,0.737985,0.396995,0.684831
BkiUfa025V5jWJMbO_F_,stackexchange,773,0.543575,0.589168,0.322886,False,0.629289,0.576128,0.760076,0.43719
BkiUbovxaKgS2EKBg_Hd,arxiv,4361,0.625591,0.674252,0.445546,False,0.712321,0.957595,0.512049,0.591632
BkiUdkg4uBhi2h6VPH0-,c4,81,0.501546,0.591053,0.52842,False,0.627009,0.821118,0.292698,0.809293
BkiUdPw4ubng6eY9MG_q,c4,198,0.488265,0.58007,0.595591,True,0.634484,0.869644,0.274053,0.74812
BkiUd2M4eIOjRtI4aB46,commoncrawl,193,0.560259,0.599972,0.316468,False,0.679969,0.784062,0.467594,0.519702
BkiUdAk5qsMAIw7A56My,commoncrawl,584,0.570727,0.647221,0.511081,False,0.750707,0.903322,0.392241,0.659485
BkiUfaE5qhLBuVPowcam,c4,424,0.462225,0.538078,0.465216,False,0.661788,0.591386,0.285237,0.750453
BkiUbIU5qsNCPdNDGVg8,commoncrawl,1084,0.564895,0.646505,0.551569,False,0.706236,0.926039,0.374471,0.713061
BkiUdcw5qoTBAkU3U5__,commoncrawl,614,0.537867,0.58693,0.334087,False,0.571511,0.757472,0.423385,0.647365
BkiUa_DxaL3SuhOoliad,book,102260,0.149413,0.20523,0.720065,True,0.232498,0.73924,0.0191752,0.517718
BkiUeNPxK1UJ-rWoKUKs,c4,251,0.496838,0.580557,0.518407,False,0.635549,0.819901,0.301495,0.72265
BkiUbCM5qU2ApuiOV9dw,book,46487,0.474951,0.557974,0.491213,False,0.68742,0.772442,0.281229,0.648659
BkiUgfPxK03BfNelY4ct,wikipedia,91,0.42894,0.489994,0.414855,False,0.701336,0.609507,0.286481,0.470479
BkiUeDU5qoTAh9p005eg,c4,439,0.514802,0.589778,0.38309,False,0.722945,0.712145,0.339856,0.69122
BkiUgJnxK7Tt6CA5J7Pm,commoncrawl,322,0.455014,0.543366,0.513712,False,0.66555,0.762571,0.248859,0.689537
BkiUdVM4uzlh3iJcU3Li,commoncrawl,157,0.462783,0.540244,0.50622,False,0.648054,0.788259,0.282039,0.59087
BkiUcDHxaL3SuhzLnOmo,commoncrawl,731,0.582334,0.664738,0.520312,False,0.746381,0.91037,0.390057,0.736456
BkiUcj7xK1UJ-rWoJSKe,c4,47,0.542333,0.575666,0.232977,False,0.697533,0.464556,0.509758,0.664768
BkiUfrg5qhLBzMvmWaXo,wikipedia,221,0.509143,0.559931,0.300385,False,0.660921,0.691021,0.390636,0.550862
BkiUcMY5jDKDyDz_8N7E,commoncrawl,2555,0.358578,0.450931,0.591972,True,0.61268,0.639923,0.143088,0.73506
BkiUcV-6NNjgB1scXmI4,c4,142,0.519978,0.581282,0.322978,False,0.618815,0.699915,0.376937,0.699141
BkiUbpA4eIZijWIz2nhv,c4,3444,0.623479,0.7156,0.550788,False,0.891287,0.959319,0.408531,0.750451
BkiUd1_xK4sA-46xOi_N,c4,140,0.541328,0.606638,0.400483,False,0.644095,0.78942,0.388936,0.684656
BkiUeR3xK7IAHdKt3J_a,c4,78,0.447417,0.510349,0.394464,False,0.628888,0.516101,0.300576,0.69504
BkiUdYk5qhDBUi61UAMn,commoncrawl,425,0.37818,0.45251,0.477289,False,0.682033,0.500657,0.204744,0.599029
BkiUbdc4eIZijWO-mEYF,commoncrawl,2183,0.403731,0.494252,0.742112,True,0.613282,0.934628,0.192516,0.5399
BkiUaZA25V5hcGj03YLp,book,462,0.346824,0.415458,0.500117,False,0.618291,0.686797,0.18668,0.375279
BkiUfZc5qhDC0kZMX5XA,wikipedia,642,0.379603,0.469992,0.717912,True,0.655806,0.886608,0.168696,0.496418
BkiUbyrxK1UJ-2RwVXvn,commoncrawl,366,0.449103,0.505465,0.370028,False,0.687619,0.619214,0.317591,0.482553
BkiUdsA4uzlh53v23Lcf,commoncrawl,506,0.410086,0.504266,0.7023,True,0.578208,0.892635,0.190334,0.657101
BkiUfsbxK5YsWOzBD8uf,commoncrawl,780,0.539498,0.614963,0.40204,False,0.765452,0.71615,0.363412,0.717672
BkiUd27xK5YsWR0KjuN-,commoncrawl,299,0.496303,0.563236,0.477079,False,0.599601,0.817205,0.340127,0.603613
BkiUczY4ubngxaggv9bc,c4,127,0.498158,0.584748,0.485848,False,0.672823,0.781964,0.296115,0.749986
BkiUblTxK7Tt6AlxCP32,github,515,0.568367,0.594284,0.237382,False,0.645262,0.510635,0.745276,0.507895
BkiUdSLxK0zjCrsN_3hZ,commoncrawl,1369,0.392415,0.449555,0.441929,False,0.654923,0.343087,0.259089,0.701017
BkiUdK04eIfiUSg2fZx2,commoncrawl,2160,0.42721,0.498523,0.420028,False,0.635516,0.546942,0.260814,0.680843
BkiUdH45qWTA9fx_AH_X,commoncrawl,870,0.422938,0.527249,0.716236,True,0.687965,0.895784,0.179547,0.697035
BkiUd3A4c3aisDazmex1,commoncrawl,537,0.521626,0.601794,0.501714,False,0.756439,0.836282,0.334567,0.619405
BkiUf7s25V5jgpkz2-AL,c4,45,0.511382,0.555263,0.298055,False,0.630587,0.521215,0.408993,0.707047
BkiUdG85qX_BhIhybSg4,commoncrawl,284,0.42102,0.508501,0.652005,True,0.646758,0.868902,0.216896,0.547842
BkiUdpQ5qhLBRA7e7vkp,commoncrawl,515,0.637349,0.675534,0.232904,False,0.781153,0.756034,0.548249,0.643143
BkiUed3xK6Ot9WA5iukI,commoncrawl,396,0.419735,0.510349,0.488633,False,0.687169,0.696936,0.208302,0.67912
BkiUdgk4uzqh_QQD9GXc,commoncrawl,122,0.463779,0.534235,0.483282,False,0.617354,0.782664,0.299382,0.562818
BkiUakS6NNjgBvv4MX2v,commoncrawl,315,0.449383,0.529431,0.501115,False,0.661613,0.763722,0.262607,0.591643
BkiUbcI5jDKDyE8-K6g-,commoncrawl,8099,0.426233,0.533481,0.714192,True,0.75943,0.89018,0.175988,0.679397
BkiUdPw4ubnjot1QXxRS,commoncrawl,2481,0.476267,0.575735,0.700204,True,0.69103,0.944379,0.244175,0.688759
BkiUdZ04eIZjsHxU-7d7,commoncrawl,316,0.51906,0.607337,0.556228,False,0.740126,0.869309,0.313081,0.675034
BkiUd-bxaKgQMxLkzK2O,commoncrawl,743,0.494898,0.583587,0.570025,False,0.682245,0.857983,0.287958,0.68765
BkiUbxo5qsMAI0vkcMmk,commoncrawl,1950,0.347643,0.431874,0.546361,False,0.543307,0.606178,0.151104,0.697465
BkiUes85qhDCOpZYLhTN,commoncrawl,526,0.396918,0.466522,0.414022,False,0.64853,0.527579,0.234508,0.589874
BkiUgKDxK03BfNelYotf,c4,591,0.479153,0.57633,0.634972,True,0.640792,0.887379,0.252408,0.767924
BkiUdHPxK2li-LM1RlPT,commoncrawl,593,0.475718,0.556662,0.482706,False,0.67305,0.769553,0.286847,0.645886
BkiUeGs4eIOjSBZeesuF,commoncrawl,418,0.572761,0.650904,0.489108,False,0.758439,0.879537,0.390429,0.688985
BkiUbQY4dbjiU7SsVTGE,c4,2067,0.429465,0.528356,0.659687,True,0.608833,0.858408,0.198721,0.749165
BkiUdx05qYVBZEfUizBu,commoncrawl,2675,0.428583,0.53413,0.743471,True,0.663988,0.925777,0.182306,0.724894
BkiUdD05qdmC89dscwVi,arxiv,4956,0.593212,0.664659,0.49928,False,0.806439,0.925783,0.426503,0.612733
BkiUc_I5ixsDMQX0hiAW,commoncrawl,545,0.452838,0.548873,0.603372,True,0.662853,0.832129,0.228757,0.718442
BkiUa43xK7kjXLSrDQ4_,c4,109,0.476634,0.558718,0.474321,False,0.639955,0.702836,0.285103,0.759424
BkiUbHY5jDKDyFga_qHy,commoncrawl,2957,0.491783,0.60089,0.718151,True,0.79319,0.955349,0.237199,0.72442
BkiUfanxK5YsWTJsQwPk,github,290,0.498132,0.55982,0.364744,False,0.718938,0.354193,0.69342,0.556072
BkiUfdDxK7FjYAb_9I8O,commoncrawl,435,0.58437,0.658937,0.481237,False,0.752898,0.891619,0.410382,0.684152
BkiUbObxK2li-LJsuB1W,commoncrawl,2551,0.419844,0.517826,0.572659,False,0.671077,0.763877,0.191218,0.732304
BkiUbZ7xK6wB9mpb0aZo,arxiv,5924,0.583543,0.646279,0.506584,False,0.755331,0.943742,0.437158,0.559675
BkiUd685qoTBC5y2MUTm,commoncrawl,296,0.528348,0.598558,0.458385,False,0.632742,0.822911,0.364526,0.676039
BkiUceTxK4sA-5Y3ryXH,commoncrawl,3691,0.477473,0.58044,0.728661,True,0.824818,0.965877,0.237217,0.599884
BkiUe67xK0fkXQzmMw2y,c4,557,0.337493,0.421548,0.602204,True,0.647944,0.462432,0.141365,0.743569
BkiUbN05qsFAfvtmo8cS,arxiv,6020,0.608722,0.659407,0.4767,False,0.677953,0.967155,0.490455,0.587814
