model_dir,model_name,n_subtasks,bbh_macro,bbh_weighted,bbh_group,date
152334H_miqu-1-70b-sf,152334H/miqu-1-70b-sf,24,61.0236,60.8748,60.8748,2024-07-25 22:30:38.936464071
1TuanPham_T-VisStar-7B-v0.1,1TuanPham/T-VisStar-7B-v0.1,24,50.522,50.3211,50.3211,2024-09-21 09:59:58.583177328
1TuanPham_T-VisStar-v0.1,1TuanPham/T-VisStar-v0.1,24,50.522,50.3211,50.3211,2024-09-21 08:28:47.982512236
3rd-Degree-Burn_L-3.1-Science-Writer-8B,3rd-Degree-Burn/L-3.1-Science-Writer-8B,24,50.4131,50.0781,50.0781,2024-11-19 23:49:48.332010269
3rd-Degree-Burn_Llama-3.1-8B-Squareroot,3rd-Degree-Burn/Llama-3.1-8B-Squareroot,24,34.6094,34.2475,34.2475,2024-10-10 15:54:25.589263916
3rd-Degree-Burn_Llama-3.1-8B-Squareroot-v1,3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,24,33.4277,33.154,33.154,2024-11-10 08:42:41.739527702
3rd-Degree-Burn_Llama-Squared-8B,3rd-Degree-Burn/Llama-Squared-8B,24,44.3103,44.1069,44.1069,2024-10-08 15:44:46.311359882
4season_final_model_test_v2,4season/final_model_test_v2,24,63.4205,63.2355,63.2355,2024-07-25 14:30:14.328860521
AALF_FuseChat-Llama-3.1-8B-Instruct-preview,AALF/FuseChat-Llama-3.1-8B-Instruct-preview,24,51.1989,50.946,50.946,2024-11-20 12:19:50.059748650
AALF_FuseChat-Llama-3.1-8B-SFT-preview,AALF/FuseChat-Llama-3.1-8B-SFT-preview,24,52.403,52.2132,52.2132,2024-11-21 13:18:14.538000584
AALF_gemma-2-27b-it-SimPO-37K,AALF/gemma-2-27b-it-SimPO-37K,24,39.1134,38.8995,38.8995,2024-08-31 20:17:04.494305611
AALF_gemma-2-27b-it-SimPO-37K-100steps,AALF/gemma-2-27b-it-SimPO-37K-100steps,24,39.3082,39.1772,39.1772,2024-09-27 12:11:44.521297455
Aashraf995_Creative-7B-nerd,Aashraf995/Creative-7B-nerd,24,56.0679,55.841,55.841,2024-12-18 02:52:17.144223928
Aashraf995_Gemma-Evo-10B,Aashraf995/Gemma-Evo-10B,24,60.4435,60.3541,60.3541,2024-12-18 03:04:37.091637611
Aashraf995_Qwen-Evo-7B,Aashraf995/Qwen-Evo-7B,24,57.0936,56.8131,56.8131,2024-12-18 02:55:23.120794296
Aashraf995_QwenStock-14B,Aashraf995/QwenStock-14B,24,65.5013,65.2838,65.2838,2024-12-18 03:01:29.531307459
abacusai_bigyi-15b,abacusai/bigyi-15b,24,43.453,43.3258,43.3258,2024-09-18 05:22:57.063875436
abacusai_Liberated-Qwen1.5-14B,abacusai/Liberated-Qwen1.5-14B,24,49.48,49.2623,49.2623,2024-09-05 11:13:23.455882788
AbacusResearch_Jallabi-34B,AbacusResearch/Jallabi-34B,24,60.2338,59.8681,59.8681,2024-07-30 03:34:42.176568747
abideen_MedPhi-4-14B-v1,abideen/MedPhi-4-14B-v1,24,68.9678,68.7728,68.7728,2025-01-13 22:27:39.714019537
AELLM_gemma-2-aeria-infinity-9b,AELLM/gemma-2-aeria-infinity-9b,24,59.8334,59.7639,59.7639,2024-10-09 09:48:59.260309695
AELLM_gemma-2-lyco-infinity-9b,AELLM/gemma-2-lyco-infinity-9b,24,58.3953,58.2885,58.2885,2024-10-10 11:00:43.469123840
agentlans_Llama3.1-8B-drill,agentlans/Llama3.1-8B-drill,24,50.1568,50.0608,50.0608,2024-12-27 23:07:44.237799644
agentlans_Llama3.1-Daredevilish,agentlans/Llama3.1-Daredevilish,24,50.1251,49.9045,49.9045,2025-01-23 10:22:43.466369390
agentlans_Qwen2.5-0.5B-Instruct-CrashCourse-dropout,agentlans/Qwen2.5-0.5B-Instruct-CrashCourse-dropout,24,33.1173,32.9283,32.9283,2025-01-01 06:30:45.431548834
AGI-0_Art-v0-3B,AGI-0/Art-v0-3B,24,33.9811,33.8656,33.8656,2025-01-18 11:53:31.239855289
AGI-0_Artificium-llama3.1-8B-001,AGI-0/Artificium-llama3.1-8B-001,24,42.5622,42.3711,42.3711,2024-09-11 00:15:27.384656429
AGI-0_smartllama3.1-8B-001,AGI-0/smartllama3.1-8B-001,24,46.7018,46.3982,46.3982,2024-11-25 21:47:35.836227894
Ahdoot_StructuredThinker-v0.3-MoreStructure,Ahdoot/StructuredThinker-v0.3-MoreStructure,24,48.3769,48.134,48.134,2025-01-01 03:12:45.703736544
Ahdoot_Test_StealthThinker,Ahdoot/Test_StealthThinker,24,46.4664,46.1031,46.1031,2025-01-06 22:35:14.701698303
AI-MO_NuminaMath-7B-CoT,AI-MO/NuminaMath-7B-CoT,24,43.1419,42.9786,42.9786,2024-09-11 21:35:13.414474726
AI-MO_NuminaMath-7B-TIR,AI-MO/NuminaMath-7B-TIR,24,41.4369,41.2776,41.2776,2024-07-25 12:58:00.748897314
AI-Sweden-Models_gpt-sw3-40b,AI-Sweden-Models/gpt-sw3-40b,24,32.6774,32.4596,32.4596,2024-07-26 17:00:54.978816271
AI-Sweden-Models_Llama-3-8B-instruct,AI-Sweden-Models/Llama-3-8B-instruct,24,41.7346,41.4685,41.4685,2024-07-22 11:23:32.307795286
AI4free_Dhanishtha,AI4free/Dhanishtha,24,34.0394,33.7615,33.7615,2025-02-23 21:11:09.857161999
AI4free_t2,AI4free/t2,24,29.1011,28.745,28.745,2025-02-27 12:56:12.604748011
AicoresSecurity_Cybernet-Sec-3B-R1-V0,AicoresSecurity/Cybernet-Sec-3B-R1-V0,24,44.9743,44.8707,44.8707,2025-02-27 08:03:23.146409035
AicoresSecurity_Cybernet-Sec-3B-R1-V0-Coder,AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,24,44.775,44.5235,44.5235,2025-02-27 08:03:07.605512142
AicoresSecurity_Cybernet-Sec-3B-R1-V1,AicoresSecurity/Cybernet-Sec-3B-R1-V1,24,42.8234,42.6315,42.6315,2025-03-07 07:15:39.293940067
AicoresSecurity_Cybernet-Sec-3B-R1-V1.1,AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,24,43.9178,43.673,43.673,2025-03-07 19:55:46.453756809
AIDC-AI_Marco-o1,AIDC-AI/Marco-o1,24,53.6436,53.3414,53.3414,2025-02-01 05:20:35.247166395
akhadangi_Llama3.2.1B.0.01-First,akhadangi/Llama3.2.1B.0.01-First,24,31.8919,31.6091,31.6091,2025-03-10 11:33:04.966281652
akhadangi_Llama3.2.1B.0.1-First,akhadangi/Llama3.2.1B.0.1-First,24,31.1962,30.9495,30.9495,2025-03-10 11:24:24.848559141
akhadangi_Llama3.2.1B.BaseFiT,akhadangi/Llama3.2.1B.BaseFiT,24,31.7452,31.557,31.557,2025-03-10 11:39:53.143208027
Alepach_notHumpback-M0,Alepach/notHumpback-M0,24,29.0011,28.6409,28.6409,2025-01-06 21:22:32.774382353
Alepach_notHumpback-M1,Alepach/notHumpback-M1,24,29.498,29.1095,29.1095,2025-01-06 21:22:32.774399757
Alepach_notHumpback-M1-v2,Alepach/notHumpback-M1-v2,24,27.7564,27.5126,27.5126,2025-01-20 06:25:38.617193222
Alibaba-NLP_gte-Qwen2-7B-instruct,Alibaba-NLP/gte-Qwen2-7B-instruct,24,44.9514,44.5756,44.5756,2024-08-12 11:36:57.411822796
allenai_Llama-3.1-Tulu-3-70B,allenai/Llama-3.1-Tulu-3-70B,24,61.6363,61.2914,61.2914,2024-11-27 10:14:01.091443539
allenai_Llama-3.1-Tulu-3-8B-DPO,allenai/Llama-3.1-Tulu-3-8B-DPO,24,40.7943,40.4791,40.4791,2024-11-22 09:39:31.971489191
allenai_Llama-3.1-Tulu-3-8B-RM,allenai/Llama-3.1-Tulu-3-8B-RM,24,29.5004,29.2658,29.2658,2024-11-22 09:54:34.549918413
allenai_Llama-3.1-Tulu-3-8B-SFT,allenai/Llama-3.1-Tulu-3-8B-SFT,24,38.7186,38.344,38.344,2024-11-22 09:46:01.614372969
allknowingroger_Gemma2Slerp1-2.6B,allknowingroger/Gemma2Slerp1-2.6B,24,43.4309,43.2217,43.2217,2024-12-06 18:47:17.940641165
allknowingroger_Gemma2Slerp1-27B,allknowingroger/Gemma2Slerp1-27B,24,63.989,63.7042,63.7042,2024-12-06 18:47:20.125353813
allknowingroger_Gemma2Slerp2-27B,allknowingroger/Gemma2Slerp2-27B,24,65.5727,65.2838,65.2838,2024-12-06 18:47:17.944821358
allknowingroger_Gemma2Slerp4-27B,allknowingroger/Gemma2Slerp4-27B,24,65.2958,65.0061,65.0061,2024-12-06 18:47:17.779354095
allknowingroger_GemmaSlerp5-10B,allknowingroger/GemmaSlerp5-10B,24,60.5448,60.493,60.493,2024-11-22 19:39:48.064676285
allknowingroger_GemmaStock1-27B,allknowingroger/GemmaStock1-27B,24,65.6561,65.3706,65.3706,2024-12-06 18:47:17.785404444
allknowingroger_Llama3.1-60B,allknowingroger/Llama3.1-60B,24,32.4176,32.1125,32.1125,2024-10-11 05:38:30.517284155
allknowingroger_Mistralmash2-7B-s,allknowingroger/Mistralmash2-7B-s,24,53.0486,52.8728,52.8728,2024-09-03 06:31:06.708310366
allknowingroger_MistralPhi3-11B,allknowingroger/MistralPhi3-11B,24,62.3431,62.1767,62.1767,2024-09-03 06:01:08.374296427
allknowingroger_Phi3mash1-17B-pass,allknowingroger/Phi3mash1-17B-pass,24,61.2888,61.1005,61.1005,2024-09-03 05:46:24.207426310
allknowingroger_Qwen2.5-42B-AGI,allknowingroger/Qwen2.5-42B-AGI,24,29.421,29.0575,29.0575,2024-10-21 18:50:30.693964958
allknowingroger_Qwen2.5-7B-task3,allknowingroger/Qwen2.5-7B-task3,24,53.9762,53.6192,53.6192,2024-11-06 18:08:03.105647564
allknowingroger_Qwen2.5-7B-task4,allknowingroger/Qwen2.5-7B-task4,24,55.8345,55.5286,55.5286,2024-11-06 18:05:10.779953957
allknowingroger_QwenSlerp12-7B,allknowingroger/QwenSlerp12-7B,24,55.5645,55.3376,55.3376,2024-11-22 19:36:50.189401150
allknowingroger_Qwenslerp3-14B,allknowingroger/Qwenslerp3-14B,24,65.2084,64.9887,64.9887,2024-10-21 19:04:15.691105604
allknowingroger_Qwenslerp3-7B,allknowingroger/Qwenslerp3-7B,24,55.8016,55.5112,55.5112,2024-11-06 18:13:21.104994535
allknowingroger_QwenSlerp4-14B,allknowingroger/QwenSlerp4-14B,24,64.8325,64.6416,64.6416,2024-12-06 18:34:44.618143082
allknowingroger_QwenSlerp6-14B,allknowingroger/QwenSlerp6-14B,24,63.8445,63.7216,63.7216,2024-12-06 18:30:22.173034906
allknowingroger_QwenStock1-14B,allknowingroger/QwenStock1-14B,24,65.2849,65.1102,65.1102,2024-12-06 18:47:18.100604773
allknowingroger_QwenStock2-14B,allknowingroger/QwenStock2-14B,24,65.6885,65.4747,65.4747,2024-12-06 18:47:17.814565897
allknowingroger_ROGERphi-7B-slerp,allknowingroger/ROGERphi-7B-slerp,24,51.9558,51.5883,51.5883,2024-08-13 07:44:09.612926483
allknowingroger_Rombos-LLM-V2.5-Qwen-42b,allknowingroger/Rombos-LLM-V2.5-Qwen-42b,24,29.6916,29.2831,29.2831,2024-10-29 01:03:16.846150398
allknowingroger_Yi-1.5-34B,allknowingroger/Yi-1.5-34B,24,28.2725,27.9813,27.9813,2024-10-28 23:39:51.963392496
allknowingroger_Yislerp-34B,allknowingroger/Yislerp-34B,24,61.5872,61.3609,61.3609,2024-09-21 11:57:38.280426025
allknowingroger_Yislerp2-34B,allknowingroger/Yislerp2-34B,24,62.4577,62.2809,62.2809,2024-09-27 21:51:40.183240414
allura-org_Mistral-Small-24b-Sertraline-0304,allura-org/Mistral-Small-24b-Sertraline-0304,24,65.2491,65.1276,65.1276,2025-03-05 16:06:45.404865742
Alsebay_Qwen2.5-7B-test-novelist,Alsebay/Qwen2.5-7B-test-novelist,24,51.5122,51.1717,51.1717,2024-12-18 02:02:21.410769463
Amaorynho_BBAI2006,Amaorynho/BBAI2006,24,27.0437,26.7141,26.7141,2025-02-27 21:57:49.874663115
Amaorynho_BBAI270V4,Amaorynho/BBAI270V4,24,30.712,30.4114,30.4114,2025-02-27 08:03:07.790564537
Amaorynho_BBAI_375,Amaorynho/BBAI_375,24,27.0437,26.7141,26.7141,2025-02-27 12:09:39.655064344
Amaorynho_BBAIIFEV1,Amaorynho/BBAIIFEV1,24,52.9246,52.8033,52.8033,2025-03-01 19:13:29.641917944
amazon_MegaBeam-Mistral-7B-300k,amazon/MegaBeam-Mistral-7B-300k,24,42.2773,42.1281,42.1281,2024-10-07 13:26:48.864743233
Amu_t1-1.5B,Amu/t1-1.5B,24,40.0761,39.8021,39.8021,2025-03-08 04:15:34.093267441
Amu_t1-3B,Amu/t1-3B,24,39.9898,39.6459,39.6459,2025-03-13 16:14:38.900436878
anakin87_gemma-2b-orpo,anakin87/gemma-2b-orpo,24,34.2617,33.9524,33.9524,2024-07-29 08:28:54.257221222
arcee-ai_Llama-3.1-SuperNova-Lite,arcee-ai/Llama-3.1-SuperNova-Lite,24,51.5199,51.137,51.137,2024-09-18 14:49:50.010505915
ArliAI_ArliAI-RPMax-12B-v1.1,ArliAI/ArliAI-RPMax-12B-v1.1,24,47.5182,47.3355,47.3355,2024-09-14 00:22:42.797279119
ArliAI_Llama-3.1-8B-ArliAI-RPMax-v1.1,ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,24,50.1561,49.974,49.974,2024-09-19 07:40:44.544722795
Arthur-LAGACHERIE_Precis-1B-Instruct,Arthur-LAGACHERIE/Precis-1B-Instruct,24,32.2361,31.9563,31.9563,2025-01-20 02:11:10.744144917
Artples_L-MChat-7b,Artples/L-MChat-7b,24,46.0033,45.8427,45.8427,2024-08-21 15:30:38.320475101
Artples_L-MChat-Small,Artples/L-MChat-Small,24,48.2256,47.891,47.891,2024-08-12 19:50:33.107785702
Aryanne_QwentileSwap,Aryanne/QwentileSwap,24,70.0837,69.7969,69.7969,2025-03-13 12:56:55.433663607
Aryanne_SHBA,Aryanne/SHBA,24,52.3317,52.109,52.109,2025-01-14 02:17:06.444860220
Aryanne_SuperHeart,Aryanne/SuperHeart,24,52.1538,51.9181,51.9181,2024-09-23 11:23:56.460126877
asharsha30_LLAMA_Harsha_8_B_ORDP_10k,asharsha30/LLAMA_Harsha_8_B_ORDP_10k,24,46.6871,46.6759,46.6759,2024-12-02 04:29:15.328405619
AtAndDev_Qwen2.5-1.5B-continuous-learnt,AtAndDev/Qwen2.5-1.5B-continuous-learnt,24,42.5775,42.1628,42.1628,2024-10-15 04:29:08.808388233
Ateron_Glowing-Forest-12B,Ateron/Glowing-Forest-12B,24,54.9176,54.6954,54.6954,2025-03-06 14:28:18.899785995
Ateron_Lotus-Magpic,Ateron/Lotus-Magpic,24,52.5351,52.2652,52.2652,2025-03-05 12:37:52.413424015
Ateron_Way_of_MagPicaro,Ateron/Way_of_MagPicaro,24,54.2739,54.0184,54.0184,2025-03-05 14:57:35.619771957
AuraIndustries_Aura-4B,AuraIndustries/Aura-4B,24,44.9041,44.6971,44.6971,2024-12-18 02:43:10.772634983
AuraIndustries_Aura-8B,AuraIndustries/Aura-8B,24,51.3123,51.0849,51.0849,2024-12-11 04:25:01.609469414
AuraIndustries_Aura-MoE-2x4B,AuraIndustries/Aura-MoE-2x4B,24,43.3851,43.2217,43.2217,2024-12-18 04:02:32.793322563
AuraIndustries_Aura-MoE-2x4B-v2,AuraIndustries/Aura-MoE-2x4B-v2,24,43.1524,42.9266,42.9266,2024-12-18 04:21:32.631507397
Aurel9_testmerge-7b,Aurel9/testmerge-7b,24,51.8959,51.5188,51.5188,2024-11-20 00:40:22.514236688
awnr_Mistral-7B-v0.1-signtensors-1-over-4,awnr/Mistral-7B-v0.1-signtensors-1-over-4,24,29.1178,28.7624,28.7624,2024-07-22 11:46:37.365397215
axolotl-ai-co_romulus-mistral-nemo-12b-simpo,axolotl-ai-co/romulus-mistral-nemo-12b-simpo,24,53.9506,53.6018,53.6018,2024-07-26 17:00:31.155687571
Ayush-Singh_Llama1B-sft-2,Ayush-Singh/Llama1B-sft-2,24,28.3428,28.0854,28.0854,2025-02-05 09:38:24.581623077
Azure99_blossom-v5-32b,Azure99/blossom-v5-32b,24,59.5455,59.3126,59.3126,2024-09-27 12:17:55.963414431
Azure99_blossom-v5-llama3-8b,Azure99/blossom-v5-llama3-8b,24,41.8491,41.5553,41.5553,2024-09-21 11:10:35.310697556
Azure99_blossom-v5.1-34b,Azure99/blossom-v5.1-34b,24,61.0744,60.8054,60.8054,2024-07-17 00:40:17.619223356
Azure99_blossom-v5.1-9b,Azure99/blossom-v5.1-9b,24,53.4329,53.1852,53.1852,2024-07-17 00:01:37.155182123
Azure99_Blossom-V6-14B,Azure99/Blossom-V6-14B,24,50.6873,50.2343,50.2343,2025-02-01 07:55:43.165723324
Azure99_Blossom-V6-7B,Azure99/Blossom-V6-7B,24,49.7367,49.54,49.54,2025-02-01 08:02:06.646476984
Ba2han_Llama-Phi-3_DoRA,Ba2han/Llama-Phi-3_DoRA,24,55.1456,54.9037,54.9037,2024-07-29 08:08:21.021888733
BAAI_Gemma2-9B-IT-Simpo-Infinity-Preference,BAAI/Gemma2-9B-IT-Simpo-Infinity-Preference,24,59.7946,59.7119,59.7119,2024-09-03 08:16:17.293198347
BAAI_Infinity-Instruct-3M-0613-Llama3-70B,BAAI/Infinity-Instruct-3M-0613-Llama3-70B,24,66.4161,66.2559,66.2559,2024-07-25 00:37:30.664567947
BAAI_Infinity-Instruct-3M-0613-Mistral-7B,BAAI/Infinity-Instruct-3M-0613-Mistral-7B,24,49.5823,49.4185,49.4185,2024-07-22 09:53:19.371785402
BAAI_Infinity-Instruct-3M-0625-Llama3-70B,BAAI/Infinity-Instruct-3M-0625-Llama3-70B,24,66.7034,66.3947,66.3947,2024-09-02 17:23:12.004137754
BAAI_Infinity-Instruct-3M-0625-Llama3-8B,BAAI/Infinity-Instruct-3M-0625-Llama3-8B,24,49.5499,49.2102,49.2102,2024-07-25 13:47:20.514844894
BAAI_Infinity-Instruct-3M-0625-Mistral-7B,BAAI/Infinity-Instruct-3M-0625-Mistral-7B,24,49.3967,49.1408,49.1408,2024-08-12 17:36:59.184513807
BAAI_Infinity-Instruct-3M-0625-Qwen2-7B,BAAI/Infinity-Instruct-3M-0625-Qwen2-7B,24,53.4591,53.1505,53.1505,2024-08-12 17:32:15.311034679
BAAI_Infinity-Instruct-3M-0625-Yi-1.5-9B,BAAI/Infinity-Instruct-3M-0625-Yi-1.5-9B,24,55.0912,54.9731,54.9731,2024-08-21 04:51:07.689522266
BAAI_Infinity-Instruct-7M-0729-Llama3_1-8B,BAAI/Infinity-Instruct-7M-0729-Llama3_1-8B,24,50.7734,50.4079,50.4079,2024-08-12 12:43:59.436655045
BAAI_Infinity-Instruct-7M-0729-mistral-7B,BAAI/Infinity-Instruct-7M-0729-mistral-7B,24,49.6381,49.3144,49.3144,2024-08-12 12:39:15.244511843
BAAI_Infinity-Instruct-7M-Gen-Llama3_1-70B,BAAI/Infinity-Instruct-7M-Gen-Llama3_1-70B,24,66.952,66.7592,66.7592,2024-09-28 17:46:29.289684296
BAAI_Infinity-Instruct-7M-Gen-Llama3_1-8B,BAAI/Infinity-Instruct-7M-Gen-Llama3_1-8B,24,50.7734,50.4079,50.4079,2024-09-02 15:13:52.048158407
BAAI_Infinity-Instruct-7M-Gen-mistral-7B,BAAI/Infinity-Instruct-7M-Gen-mistral-7B,24,49.6381,49.3144,49.3144,2024-09-02 15:14:16.145371914
BAAI_OPI-Llama-3.1-8B-Instruct,BAAI/OPI-Llama-3.1-8B-Instruct,24,35.5122,35.2022,35.2022,2024-09-23 11:30:25.647851229
Baptiste-HUVELLE-10_LeTriomphant2.2_ECE_iLAB,Baptiste-HUVELLE-10/LeTriomphant2.2_ECE_iLAB,24,72.5632,72.3833,72.3833,2025-02-28 10:13:29.180877924
bedio_DistMerge_Llama-3.1-8B-Instruct,bedio/DistMerge_Llama-3.1-8B-Instruct,24,51.4496,51.1543,51.1543,2024-09-11 23:43:57.144591570
BEE-spoke-data_Meta-Llama-3-8Bee,BEE-spoke-data/Meta-Llama-3-8Bee,24,46.2636,46.2073,46.2073,2024-07-25 11:52:05.434873343
BEE-spoke-data_smol_llama-101M-GQA,BEE-spoke-data/smol_llama-101M-GQA,24,30.1756,29.7691,29.7691,2024-08-13 08:11:25.861438036
BEE-spoke-data_smol_llama-220M-GQA,BEE-spoke-data/smol_llama-220M-GQA,24,30.3167,29.9774,29.9774,2024-06-26 23:17:48.950854540
BEE-spoke-data_smol_llama-220M-GQA-fineweb_edu,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,24,29.2905,28.9707,28.9707,2024-07-18 11:03:28.985273600
BEE-spoke-data_smol_llama-220M-openhermes,BEE-spoke-data/smol_llama-220M-openhermes,24,30.2752,29.9774,29.9774,2024-09-21 20:45:58.097015858
BEE-spoke-data_tFINE-900m-e16-d32-flan,BEE-spoke-data/tFINE-900m-e16-d32-flan,24,30.2804,30.1163,30.1163,2024-09-14 04:23:53.048880339
BEE-spoke-data_tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,BEE-spoke-data/tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,24,31.3779,31.1578,31.1578,2024-09-14 07:43:46.562405586
BEE-spoke-data_tFINE-900m-e16-d32-instruct_2e,BEE-spoke-data/tFINE-900m-e16-d32-instruct_2e,24,31.3457,30.9668,30.9668,2024-09-23 15:05:39.612418413
BEE-spoke-data_tFINE-900m-instruct-orpo,BEE-spoke-data/tFINE-900m-instruct-orpo,24,30.2209,29.9948,29.9948,2024-09-23 16:03:56.567698956
BenevolenceMessiah_Qwen2.5-72B-2x-Instruct-TIES-v1.0,BenevolenceMessiah/Qwen2.5-72B-2x-Instruct-TIES-v1.0,24,72.7311,72.5742,72.5742,2024-11-24 23:13:57.637555599
BenevolenceMessiah_Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0,BenevolenceMessiah/Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0,24,49.0867,49.0366,49.0366,2024-09-27 23:17:30.080023289
bigscience_bloom-1b1,bigscience/bloom-1b1,24,31.0728,30.8106,30.8106,2024-06-16 21:16:43.294521809
BlackBeenie_Bloslain-8B-v0.2,BlackBeenie/Bloslain-8B-v0.2,24,51.1088,50.8766,50.8766,2024-11-19 23:47:27.384949207
BlackBeenie_llama-3-luminous-merged,BlackBeenie/llama-3-luminous-merged,24,51.5392,51.4147,51.4147,2024-10-11 12:51:33.590334177
BlackBeenie_llama-3.1-8B-Galore-openassistant-guanaco,BlackBeenie/llama-3.1-8B-Galore-openassistant-guanaco,24,52.1337,51.9528,51.9528,2024-10-19 10:53:05.194149733
BlackBeenie_Llama-3.1-8B-OpenO1-SFT-v0.1,BlackBeenie/Llama-3.1-8B-OpenO1-SFT-v0.1,24,47.8745,47.648,47.648,2024-12-29 05:21:42.501580237
BlackBeenie_Llama-3.1-8B-pythonic-passthrough-merge,BlackBeenie/Llama-3.1-8B-pythonic-passthrough-merge,24,34.5385,34.1955,34.1955,2024-11-06 18:53:12.939580441
BlackBeenie_Neos-Gemma-2-9b,BlackBeenie/Neos-Gemma-2-9b,24,55.0298,54.8342,54.8342,2024-11-11 11:02:48.332664490
BlackBeenie_Neos-Llama-3.1-8B,BlackBeenie/Neos-Llama-3.1-8B,24,44.25,43.9333,43.9333,2024-11-12 12:53:54.680127382
BlackBeenie_Neos-Llama-3.1-base,BlackBeenie/Neos-Llama-3.1-base,24,29.3034,28.9186,28.9186,2024-11-11 13:35:54.315541506
BlackBeenie_Neos-Phi-3-14B-v0.1,BlackBeenie/Neos-Phi-3-14B-v0.1,24,62.1193,62.0205,62.0205,2024-11-27 14:35:28.737142324
Bllossom_llama-3.2-Korean-Bllossom-AICA-5B,Bllossom/llama-3.2-Korean-Bllossom-AICA-5B,24,42.9307,42.7704,42.7704,2024-12-18 04:24:32.718838215
BoltMonkey_DreadMix,BoltMonkey/DreadMix,24,54.351,54.2267,54.2267,2024-10-15 09:42:37.607131720
